liability,trade,rupee,speculate,action,share,gain,company,stock,close,central,sri,lanka,earnings,rs,shares
0.0057040298354669155,0.0057040298354669155,0.017112089506400748,0.0057040298354669155,0.0057040298354669155,-0.0004827796999625699,-0.0005371996846306568,0.0014839721430726694,0.0013257321916048653,0.002225958214609003,0.022816119341867662,0.022254608101564474,0.022254608101564474,-0.0042088637415017074,0.0004213661012871031,0.00370993035768167
0.0057040298354669155,0.0057040298354669155,0.017112089506400748,0.0057040298354669155,0.0057040298354669155,-0.0004827796999625699,-0.0005371996846306568,0.0014839721430726694,0.0013257321916048653,0.002225958214609003,0.022816119341867662,0.022254608101564474,0.022254608101564474,-0.0042088637415017074,0.0004213661012871031,0.00370993035768167
0.017112089506400748,0.017112089506400748,0.051336268519202255,0.017112089506400748,0.017112089506400748,-0.0014483390998877108,-0.0016115990538919725,0.0044519164292180086,0.003977196574814596,0.0066778746438270085,0.06844835802560299,0.06676382430469344,0.06676382430469344,-0.01262659122450513,0.0012640983038613024,0.011129791073045013
0.0057040298354669155,0.0057040298354669155,0.017112089506400748,0.0057040298354669155,0.0057040298354669155,-0.0004827796999625699,-0.0005371996846306568,0.0014839721430726694,0.0013257321916048653,0.002225958214609003,0.022816119341867662,0.022254608101564474,0.022254608101564474,-0.0042088637415017074,0.0004213661012871031,0.00370993035768167
0.0057040298354669155,0.0057040298354669155,0.017112089506400748,0.0057040298354669155,0.0057040298354669155,-0.0004827796999625699,-0.0005371996846306568,0.0014839721430726694,0.0013257321916048653,0.002225958214609003,0.022816119341867662,0.022254608101564474,0.022254608101564474,-0.0042088637415017074,0.0004213661012871031,0.00370993035768167
-0.0004827796999625699,-0.0004827796999625699,-0.0014483390998877108,-0.0004827796999625699,-0.0004827796999625699,0.0014055420100030748,0.004438788051192168,0.0032396936689990247,0.004764756736859205,0.004859540503498538,-0.0019311187998502797,-0.0006038967585123471,-0.0006038967585123471,0.015128297322088792,0.010272495715141036,0.008099234172497562
-0.0005371996846306568,-0.0005371996846306568,-0.0016115990538919725,-0.0005371996846306568,-0.0005371996846306568,0.004438788051192168,0.014194025116593172,0.010694146270199953,0.015575573552136322,0.01604121940529993,-0.002148798738522627,0.0020238159088421977,0.0020238159088421977,0.04795215236364716,0.033145411393434895,0.026735365675499886
0.0014839721430726694,0.0014839721430726694,0.0044519164292180086,0.0014839721430726694,0.0014839721430726694,0.0032396936689990247,0.010694146270199953,0.008684872379750179,0.01237147449182896,0.01302730856962527,0.005935888572290678,0.008945529974967436,0.008945529974967436,0.035332851668663574,0.02552949130187528,0.021712180949375447
0.0013257321916048653,0.0013257321916048653,0.003977196574814596,0.0013257321916048653,0.0013257321916048653,0.004764756736859205,0.015575573552136322,0.01237147449182896,0.017736958159242658,0.018557211737743443,0.005302928766419461,0.009745680131016867,0.009745680131016867,0.0518127766735942,0.036936252023524775,0.0309286862295724
0.002225958214609003,0.002225958214609003,0.0066778746438270085,0.002225958214609003,0.002225958214609003,0.004859540503498538,0.01604121940529993,0.01302730856962527,0.018557211737743443,0.019540962854437908,0.008903832858436012,0.013418294962451149,0.013418294962451149,0.05299927750299537,0.03829423695281293,0.032568271424063176
0.022816119341867662,0.022816119341867662,0.06844835802560299,0.022816119341867662,0.022816119341867662,-0.0019311187998502797,-0.002148798738522627,0.005935888572290678,0.005302928766419461,0.008903832858436012,0.09126447736747065,0.0890184324062579,0.0890184324062579,-0.01683545496600683,0.0016854644051484124,0.01483972143072668
0.022254608101564474,0.022254608101564474,0.06676382430469344,0.022254608101564474,0.022254608101564474,-0.0006038967585123471,0.0020238159088421977,0.008945529974967436,0.009745680131016867,0.013418294962451149,0.0890184324062579,0.08802766847977493,0.08802766847977493,-0.0025689745967706692,0.01131021698929778,0.022363824937418578
0.022254608101564474,0.022254608101564474,0.06676382430469344,0.022254608101564474,0.022254608101564474,-0.0006038967585123471,0.0020238159088421977,0.008945529974967436,0.009745680131016867,0.013418294962451149,0.0890184324062579,0.08802766847977493,0.08802766847977493,-0.0025689745967706692,0.01131021698929778,0.022363824937418578
-0.0042088637415017074,-0.0042088637415017074,-0.01262659122450513,-0.0042088637415017074,-0.0042088637415017074,0.015128297322088792,0.04795215236364716,0.035332851668663574,0.0518127766735942,0.05299927750299537,-0.01683545496600683,-0.0025689745967706692,-0.0025689745967706692,0.16300675288533126,0.11127038908940978,0.08833212917165895
0.0004213661012871031,0.0004213661012871031,0.0012640983038613024,0.0004213661012871031,0.0004213661012871031,0.010272495715141036,0.033145411393434895,0.02552949130187528,0.036936252023524775,0.03829423695281293,0.0016854644051484124,0.01131021698929778,0.01131021698929778,0.11127038908940978,0.07789416118655718,0.0638237282546882
0.00370993035768167,0.00370993035768167,0.011129791073045013,0.00370993035768167,0.00370993035768167,0.008099234172497562,0.026735365675499886,0.021712180949375447,0.0309286862295724,0.032568271424063176,0.01483972143072668,0.022363824937418578,0.022363824937418578,0.08833212917165895,0.0638237282546882,0.05428045237343861
